#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
30,James Cook,RB,BUF,13.3,28.5,18.7,5.8,17.9,-,9.2,28.3,11.9,15.5,19.7,BYE,19,4.9,26.3,27.6,11.3,8.8,16.7,266.7,17
31,Alvin Kamara,RB,NO,22,44,15.7,24.9,12.6,17.4,8.4,18.2,27.5,15.9,12.9,BYE,15.9,12.9,17,-,-,-,19,265.3,15
32,CeeDee Lamb,WR,DAL,13.6,19,8.7,23.6,11.4,16.1,BYE,39.6,16.2,8.4,18.6,16.8,5.9,21.4,26.6,17.5,-,-,17.6,263.4,16
33,Brock Bowers,TE,LV,11.8,18.8,7.1,5.1,23.7,16.1,19.3,10.8,15.5,BYE,31.3,7.8,30.2,8.2,6.5,20.9,14.6,15,15.5,262.7,18
34,Caleb Williams,QB,CHI,7.2,9.4,19.3,11.5,23.6,29.6,BYE,9.9,9.2,6.3,16.2,26.9,26.1,14.1,9.9,22.8,7.6,10.9,15.3,260.5,18
35,Chase Brown,RB,CIN,5.3,3.1,8.9,23.2,16.4,14.4,7.3,11.4,26.7,22.4,19.3,BYE,19,24.3,26.3,13.9,13.1,-,15.9,255,17
36,James Conner,RB,ARI,19.3,19.4,3.5,18.3,14,6.6,17.2,14.9,14.9,22.3,BYE,9.9,11.1,22.2,30.8,26.6,2.8,-,15.9,253.8,17
37,Jaxon Smith-Njigba,WR,SEA,3.9,23.7,6.9,13.1,13.1,10.3,5.3,12.9,37,BYE,21.8,19.7,11.9,19.6,18.3,24,6.2,5.3,14.9,253,18
38,Garrett Wilson,WR,NYJ,12,10.2,14.3,7.1,29.1,24.7,13.1,16.3,30,9.1,5.8,BYE,9.1,18.4,14.6,11.4,17.6,9.1,14.8,251.9,18
39,Trey McBride,TE,ARI,8,18.7,5.5,-,11.3,17.6,10.1,21.4,12.7,11.1,BYE,25.3,21.6,14,17.7,5,30.3,19.5,15.6,249.8,17
40,Jordan Love,QB,GB,17.4,-,-,31.2,17,26.6,18.8,6.7,11.9,BYE,21.2,14.7,19,14.5,17.6,11.5,14,2.8,16.3,244.9,16
41,Jonathan Taylor,RB,IND,10.8,15.5,26.5,19.8,-,-,-,18.7,8.9,14.2,7,3.5,17.3,BYE,10.1,39.8,27.6,25,17.5,244.7,15
42,Bucky Irving,RB,TB,9.6,2.2,11.4,12.5,5.6,18.5,16.7,15.4,6.4,17.7,BYE,27.2,27.5,2.8,13.3,18.2,23,16.4,14.4,244.4,18
43,Aaron Jones Sr.,RB,MIN,18.9,9.8,25.8,17.9,6.3,BYE,20.6,11.5,12.2,12.1,5.3,19.9,9.8,16.4,18.6,12.3,11.7,12.5,14.2,241.6,18
43,Chuba Hubbard,RB,CAR,1.4,11.6,27.9,22.1,17.5,15.3,11.2,9.1,21.2,24.9,BYE,15,2.3,20.7,8.9,32.5,-,-,16.1,241.6,16
45,Davante Adams,WR,LAR,10.9,26,8,-,-,BYE,6,9.4,22.1,9.1,13.2,-,17.6,25.9,42.8,19.8,9.7,20.8,17.2,241.3,15
46,Jerry Jeudy,WR,CLE,11.5,12.3,8.7,13.2,2.6,4.5,2.8,12.9,14.3,BYE,26.2,14.5,40.5,17.4,21.8,4,21.4,12.3,14.2,240.9,18
46,Ladd McConkey,WR,LAC,14.9,4.6,7.4,17.7,BYE,8.3,9.6,29.1,11.4,7.2,18.3,14.3,20.7,-,16.8,14.7,29.4,16.5,15.1,240.9,17
46,Breece Hall,RB,NYJ,18.3,24.4,18.3,3.8,6.7,21.9,26.1,9.9,10.5,12.3,31.1,BYE,6,-,13.1,14,6.3,18.2,15.1,240.9,17
49,Joe Mixon,RB,HOU,26.8,8,-,-,-,27.2,26.4,23.4,16.6,17,35.3,9.5,21.9,BYE,10.6,8.1,5.9,3.8,17.2,240.5,15
50,Mike Evans,WR,TB,23.1,7.2,3.7,23.4,23.2,5.4,9.5,-,-,-,BYE,11.8,25.8,10.9,36.9,11.9,29.7,17.9,17.2,240.4,15
51,Courtland Sutton,WR,DEN,7.8,3.6,13.8,15,5.2,15.3,0,17.1,23.3,19,14.8,29.7,16.2,BYE,12.2,10,16.5,20.8,14.1,240.3,18
52,DJ Moore,WR,CHI,10,11.3,15.2,11.2,27.5,6,BYE,5.4,7.3,5.7,13.7,26.9,23.7,10.9,15,14,12.2,22.1,14,238.1,18
53,George Kittle,TE,SF,8,20.6,-,14.5,20.4,22.8,15.2,24.8,BYE,14.7,-,20.2,1.7,21.1,10.1,18.6,19.2,4.7,15.8,236.6,16
54,C.J. Stroud,QB,HOU,18.7,14.3,11.8,23.5,16.9,19.4,5.3,12.4,11.5,11.8,11.9,17.7,14.4,BYE,11.6,18.1,7.1,6,13.7,232.4,18
55,Matthew Stafford,QB,LAR,15.7,6.6,12.8,5.9,13.4,BYE,5,25.8,18.9,10.7,27.8,19.2,15.6,20.8,8.2,7,9.2,-,13.9,222.6,17
56,Jonnu Smith,TE,MIA,1.7,11.3,3.8,0,11.1,BYE,22.6,6,9.6,7.5,28.1,23.7,21.3,13.4,19.8,12.2,11.6,18.6,13.1,222.3,18
57,Tee Higgins,WR,CIN,-,-,6.9,12,29.3,14.7,18.2,-,-,-,29.8,BYE,17.9,4.3,19.8,19.8,40.1,9.3,18.5,222.1,13
58,David Montgomery,RB,DET,16.3,17,21.2,15,BYE,21,8,14.9,12.6,12.6,24.5,16.3,15.4,19.4,7.5,-,-,-,15.8,221.7,15
59,Tyreek Hill,WR,MIA,26,6.6,7,8.2,12.9,BYE,2.3,13.2,12,11.7,19.1,9.8,20.3,28.1,5.6,11.9,19.5,4,12.8,218.2,18
60,Jakobi Meyers,WR,LV,9.4,6.9,21.2,9.9,13.2,-,-,17.2,18.5,BYE,8.8,22.1,15.7,13.7,10.9,6.1,17.1,27.3,14.5,218,16
